导弹标号,最短时间(s),最长时间(s),所属簇群编号
2024004,-30.593,2024004,-30.6
2024005,-30.5832,2024005,-30.6
2024006,-30.5734,2024006,-30.6
2024007,-30.5635,2024007,-30.564
2024008,-30.5535,2024008,-30.564
2024009,-30.5436,2024009,-30.564
2024010,-30.5337,2024010,-30.564
2024011,-30.5237,2024011,-30.528
2024012,-30.5138,2024012,-30.528
2024013,-30.5038,2024013,-30.528
2024014,-30.4938,2024014,-30.528
2024015,-30.4839,2024015,-30.492
2024016,-30.4739,2024016,-30.492
2024017,-30.464,2024017,-30.492
2024018,-30.454,2024018,-30.456
2024019,-30.444,2024019,-30.456
2024020,-30.4341,2024020,-30.456
2024021,-30.4241,2024021,-30.456
2024022,-30.4141,2024022,-30.42
2024023,-30.4041,2024023,-30.42
2024024,-30.3942,2024024,-30.42
2024025,-30.3841,2024025,-30.384
2024026,-30.3742,2024026,-30.384
2024027,-30.3642,2024027,-30.384
2024028,-30.3542,2024028,-30.348
2024029,-30.3442,2024029,-30.348
2024030,-30.3343,2024030,-30.348
2024031,-30.3243,2024031,-30.348
2024032,-30.3143,2024032,-30.312
2024033,-30.3043,2024033,-30.312
2024034,-30.2942,2024034,-30.312
2024035,-30.2838,2024035,-30.276
2024036,-30.2739,2024036,-30.276
2024037,-30.2641,2024037,-30.276
2024038,-30.2542,2024038,-30.24
2024039,-30.2441,2024039,-30.24
2024040,-30.2342,2024040,-30.24
2024041,-30.2242,2024041,-30.24
2024042,-30.2142,2024042,-30.204
2024043,-30.2041,2024043,-30.204
2024044,-30.194,2024044,-30.204
2024045,-30.1685,2024045,-30.168
2024046,-30.1538,2024046,-30.168
2024047,-30.1438,2024047,-30.132
2024048,-30.1337,2024048,-30.132
2024049,-30.1238,2024049,-30.132
2024050,-30.1139,2024050,-30.096
2024051,-30.1039,2024051,-30.096
2024052,-30.0938,2024052,-30.096
2024053,-30.0838,2024053,-30.096
2024054,-30.0738,2024054,-30.06
2024055,-30.0638,2024055,-30.06
2024056,-30.0538,2024056,-30.06
2024057,-30.0438,2024057,-30.024
2024058,-30.0337,2024058,-30.024
2024059,-30.0236,2024059,-30.024
2024060,-30.0136,2024060,-30.024
2024061,-30.0036,2024061,-29.988
2024062,-29.9935,2024062,-29.988
2024063,-29.9834,2024063,-29.988
2024064,-29.9734,2024064,-29.952
2024065,-29.9633,2024065,-29.952
2024066,-29.9533,2024066,-29.952
2024067,-29.9432,2024067,-29.952
2024068,-29.9331,2024068,-29.916
2024069,-29.9231,2024069,-29.916
2024070,-29.913,2024070,-29.916
2024071,-29.903,2024071,-29.916
2024072,-29.8928,2024072,-29.88
2024073,-29.8827,2024073,-29.88
2024074,-29.8727,2024074,-29.88
2024075,-29.8626,2024075,-29.844
2024076,-29.8526,2024076,-29.844
2024077,-29.8425,2024077,-29.844
2024078,-29.8324,2024078,-29.808
2024079,-29.8223,2024079,-29.808
2024080,-29.8123,2024080,-29.808
2024081,-29.8021,2024081,-29.808
2024082,-29.792,2024082,-29.772
2024083,-29.782,2024083,-29.772
2024084,-29.7719,2024084,-29.772
2024085,-29.7618,2024085,-29.772
2024086,-29.7517,2024086,-29.736
2024087,-29.7416,2024087,-29.736
2024088,-29.7315,2024088,-29.736
2024089,-29.7214,2024089,-29.7
2024090,-29.7113,2024090,-29.7
2024091,-29.7011,2024091,-29.7
2024092,-29.691,2024092,-29.664
2024093,-29.6809,2024093,-29.664
2024094,-29.6708,2024094,-29.664
2024095,-29.6607,2024095,-29.664
2024096,-29.6506,2024096,-29.628
2024097,-29.6405,2024097,-29.628
2024098,-29.6303,2024098,-29.628
2024099,-29.6202,2024099,-29.628
2024100,-29.6101,2024100,-29.592
2024101,-29.6,2024101,-29.592
2024102,-29.5898,2024102,-29.592
